Name,Address,fcode,lat,atoll_isla,lng,longitude,latitude
Fiyavalhu Maldives,Council Plot,LD0168,3.6978,ADh.Mandhoo,72.70956,72.711251260004,3.696003215999966
The Barefoot Eco Hotel,,LD0235,6.76133,HDh.Hanimaadhoo,73.1754,73.17939507000071,6.772816215
Ifuru Island Maldives,"Ifuru, Raa Atoll",LD0298,5.70781,R.Ifuru,73.02421,73.02209621787162,5.708732089093902
Hotel Flora,"H. Heyn Beyn, Violet Goalhi",LD0442,4.17422,MLE.Male',73.50949,73.5141848453514,4.176245560584213
Mercure Maldives Kooddoo,,LD0443,0.73348,GA.Kooddoo,73.43356,73.43271096930033,0.728618278034008
Hulhule Island Hotel,,LD0591,4.22295,MLE.Hulhule,73.54316,73.52616400472002,4.194559281896158
Equator Village,,LD0888,-0.6941,S.Gan,73.15356,73.14690614725154,-0.687083340909593
Stone Hotels Dhiffushi,"Asseyri, Keyolhube Hingun",LD0894,4.44299,K.Dhiffushi,73.71446,73.71216927189427,4.439947387687074
Amilla Fushi,,LD1041,5.23382,B.Finolhas,73.11369,73.11368970570098,5.233820151909989
Ecoboo Maldives,1. Mala  & 2. Asseyri,LD1079,3.48766,V.Thinadhoo,73.53842,73.5391122145947,3.488789053772051
Maagiri Hotel,"H. MaagiriBoduthakurufaanu MaguMale', Republic of Maldives",LD0442,4.17422,MLE.Male',73.50949,73.51715494362362,4.177445219037128
"Hotel Jen Male', Maldives",H. Athireege,LD0442,4.17422,MLE.Male',73.50949,73.51362325800605,4.178017594407492
Manhattan Business Hotel,"FHTS Building, The Maldives National University, Falhumathee Magu",LD0442,4.17422,MLE.Male',73.50949,73.50897375879484,4.170449473662074
Mookai Hotel,H. Maagala Meheli Goalhi,LD0442,4.17422,MLE.Male',73.50949,73.51697620673343,4.177126853414793
Champa Central Hotel,"G. Champa Central Villa, Rahdhebai Magu",LD0442,4.17422,MLE.Male',73.50949,73.51020366404593,4.174193166586463
