PARCEL_NAM,OBJECTID,longitude,latitude
Masjidhul Thaqvaa,1,73.51415088454216,4.176108505975651
Hukuru Miskiy,2,73.51236426393962,4.177997329540217
Haivakaru Miskiy,3,73.51124391519173,4.176977819253209
Masjidhul Afeefuhdheen,4,73.51567022125434,4.174302135463453
Masjidhul Shaheedh Ali,5,73.51529787605308,4.171951574509989
Masjidhu Iskandharu,6,73.51546526293244,4.177753511364995
Masjidhul Noor,7,73.51755596965526,4.17605958157857
Ibrahimee Miskyth,8,73.51449972189722,4.174529742051036
Masjidh'ul Sultaan Adil,9,73.51349700291708,4.174894066893191
Dharumavantha Rasgefaanu Miskiy,10,73.51170261383027,4.177422797868084
Masjidhul Mohamed Imadhudheen,11,73.51323969383972,4.176716951719898
Bihoroaz Kamaneaa Miskyth,12,73.51060792877973,4.175896860549559
Masjidhul Salaahudheen,13,73.51160023827164,4.17470840220629
Fan'diyaaru Miskith,14,73.50670757705548,4.176105312682677
Masjidhul Bahaauddeen,15,73.50636049792796,4.173876768435809
Eid Miskyth,16,73.50416339709159,4.174835587889615
Masjidh Sultan Hassan Izzudheen,17,73.50378597553942,4.17659847103084
Masjidhul Sultan Mohamed Bin Abdulla,18,73.50269552915,4.1724278345051
Masjidhul Furgaan,19,73.51152680578952,4.171082142089893
King Salman Mosque,0,73.51824922410106,4.176951249126107
